"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,3,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,8,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,11,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,7,"10m","Echinoderms","Hours",NA,1963
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,4,"10m","Echinoderms","Hours",NA,1968
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1968
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,11,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,10,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,8,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,2,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,12,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,10,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,10,"10m","Echinoderms","Hours",NA,1963
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,1,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,1,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,8,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,8,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,2,"10m","Echinoderms","Hours",NA,1968
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,3,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,8,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,11,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,12,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,2,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,9,"10m","Echinoderms","Hours",NA,1963
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,9,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,9,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,4,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,6,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,12,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,9,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,2,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,8,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,9,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,9,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,12,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,8,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,4,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,9,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,4,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,6,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,7,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,10,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,4,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,6,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,11,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,6,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,2,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,1,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,11,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,7,"10m","Echinoderms","Hours",NA,1967
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,1,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,7,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,7,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,1,"10m","Echinoderms","Hours",NA,1964
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,6,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,1,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,1,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,12,"10m","Echinoderms","Hours",NA,1963
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,5,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,8,"10m","Echinoderms","Hours",NA,1966
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,9,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,2,"10m","Echinoderms","Hours",NA,1965
"Paine_1969",3,"Marine","Ectotherm","Direct observation","Mark",48.4,565,3,"10m","Echinoderms","Hours",NA,1966
"Gaymer_2001",4,"Marine","Ectotherm","Direct observation","Shannon",50.21,95.3,7,"100m","Echinoderms","Years",NA,1997
"Himmelman_1991",10,"Marine","Ectotherm","Direct observation","Shannon",50.22,44,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",10,"Marine","Ectotherm","Direct observation","Shannon",50.22,44,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",10,"Marine","Ectotherm","Direct observation","Shannon",50.22,44,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",10,"Marine","Ectotherm","Direct observation","Shannon",50.22,44,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",10,"Marine","Ectotherm","Direct observation","Shannon",50.22,44,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",10,"Marine","Ectotherm","Direct observation","Shannon",50.22,44,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",16,"Marine","Ectotherm","Direct observation","Shannon",50.22,95.3,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",16,"Marine","Ectotherm","Direct observation","Shannon",50.22,95.3,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",16,"Marine","Ectotherm","Direct observation","Shannon",50.22,95.3,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",16,"Marine","Ectotherm","Direct observation","Shannon",50.22,95.3,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",16,"Marine","Ectotherm","Direct observation","Shannon",50.22,95.3,9,"100m","Echinoderms","Days",NA,1984
"Himmelman_1991",16,"Marine","Ectotherm","Direct observation","Shannon",50.22,95.3,9,"100m","Echinoderms","Days",NA,1984
