"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Fagade_1973",5,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",67,1967
"Fagade_1973",2,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",12,1967
"Fagundes_2008",15,"Lotic","Ectotherm","Gut content (lethal)","Gray",-29.58,NA,NA,"100m","Fish","Years",328,2001
"Kutter_2009",30,"Lotic","Ectotherm","Gut content (lethal)","Gray",-32.42,NA,NA,"1000m","Fish","Years",189,2003
"Labropoulou_1998",62,"Marine","Ectotherm","Gut content (lethal)","Gray",35.4,NA,NA,"10km","Fish","Years",1045,1991
"Lima_2023",21,"Lotic","Ectotherm","Gut content (lethal)","Gray",-3.52,NA,NA,"10km","Fish","Months",93,2021
"Longhurst_1957",5,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",7,1953
"Longhurst_1957",4,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",10,1953
"Longhurst_1957",2,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",16,1953
"Longhurst_1957",9,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",472,1953
"Longhurst_1957",7,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",1047,1953
"Longhurst_1957",2,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",23,1953
"Longhurst_1957",10,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",3840,1953
"Longhurst_1957",7,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",59,1953
"Longhurst_1957",2,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",10,1953
"Longhurst_1957",12,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",2375,1953
"Longhurst_1957",10,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",1437,1953
"Longhurst_1957",1,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",38,1953
"Longhurst_1957",4,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",59,1953
"Longhurst_1957",9,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",327,1953
"Longhurst_1957",6,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",341,1953
"Longhurst_1957",10,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",4176,1953
"Longhurst_1957",2,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",11,1953
"Longhurst_1957",6,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",67,1953
"Longhurst_1957",4,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",142,1953
"Longhurst_1957",6,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",1043,1953
"Loor-Andrade_2017",18,"Marine","Ectotherm","Gut content (lethal)","Gray",-0.94,NA,NA,"100km","Fish","Years",321,2014
"Madera-Santana_2023",23,"Marine","Ectotherm","Gut content (lethal)","Gray",36.5,NA,NA,"10km","Fish","Years",1534,2021
"Marais_1984",22,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.96,NA,NA,"1000m","Fish","Years",431,1981
"Marais_1984",15,"Lotic","Ectotherm","Gut content (lethal)","Gray",-34.12,NA,NA,"1000m","Fish","Years",126,1979
"Marais_1984",15,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.69,NA,NA,"1000m","Fish","Years",189,1978
"Marais_1984",12,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.83,NA,NA,"1000m","Fish","Years",111,1977
"Marais_1984",10,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.83,NA,NA,"1000m","Fish","Years",69,1977
"Marais_1984",10,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.69,NA,NA,"1000m","Fish","Years",86,1978
"Marais_1984",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.96,NA,NA,"1000m","Fish","Years",2,1981
"Marais_1984",5,"Lotic","Ectotherm","Gut content (lethal)","Gray",-34.12,NA,NA,"1000m","Fish","Years",4,1979
"Marais_1984",6,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.83,NA,NA,"1000m","Fish","Years",101,1977
"Marais_1984",9,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.69,NA,NA,"1000m","Fish","Years",173,1978
"Marais_1984",5,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.96,NA,NA,"1000m","Fish","Years",243,1981
"Marais_1984",24,"Lotic","Ectotherm","Gut content (lethal)","Gray",-34.12,NA,NA,"1000m","Fish","Years",300,1979
"Marais_1984",6,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.69,NA,NA,"1000m","Fish","Years",35,1978
"Marais_1984",17,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.96,NA,NA,"1000m","Fish","Years",306,1981
"Marais_1984",9,"Lotic","Ectotherm","Gut content (lethal)","Gray",-34.12,NA,NA,"1000m","Fish","Years",252,1979
"Marais_1984",5,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.83,NA,NA,"1000m","Fish","Years",125,1977
"Marais_1984",9,"Lotic","Ectotherm","Gut content (lethal)","Gray",-34.12,NA,NA,"1000m","Fish","Years",701,1979
"Marais_1984",8,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.83,NA,NA,"1000m","Fish","Years",128,1977
"Marais_1984",12,"Lotic","Ectotherm","Gut content (lethal)","Gray",-33.96,NA,NA,"1000m","Fish","Years",40,1981
"MarquezVelasquez_2019",42,"Lotic","Ectotherm","Gut content (lethal)","Gray",6.22,NA,NA,"10km","Fish","Years",74,2016
"Marshall_1905",5,"Lentic","Ectotherm","Gut content (lethal)","Gray",43.1,NA,NA,"1000m","Fish","Months",35,1902
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
