"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Bothma_1966a",2,"Terrestrial","Endotherm","Gut content (lethal)","Chris",-25.44,2650,NA,NA,"Mammals",NA,1,1965
"Cada_1987",97,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.07,3339,NA,NA,"Fish",NA,1,1982
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,0.001781,NA,NA,"Arthropods",NA,1,2017
"Randall_1967",2,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,36980,NA,NA,"Fish",NA,1,1963
"Scott_1903",8,"Marine","Ectotherm","Gut content (lethal)","Gray",56,58.3,NA,NA,"Fish",NA,1,1902
"Collard_1970",1,"Marine","Ectotherm","Gut content (lethal)","Mark",32.67,4,NA,NA,"Fish",NA,1,1964
"Collard_1970",1,"Marine","Ectotherm","Gut content (lethal)","Mark",-6,1.4,NA,NA,"Fish",NA,1,1964
"Eichelbaum_1909",1,"Marine","Ectotherm","Gut content (lethal)","Mark",54.5,0.3977,NA,NA,"Echinoderms",NA,1,1908
"Bonham_1941",28,"Lotic","Ectotherm","Gut content (lethal)","Paige",31.57,12280,NA,NA,"Fish",NA,1,1939
"Preti_2020",31,"Marine","Endotherm","Gut content (lethal)","Paige",34.31,2051000,NA,NA,"Mammals",NA,1,2010
"Preti_2020",31,"Marine","Endotherm","Gut content (lethal)","Paige",34.31,2051000,NA,NA,"Mammals",NA,1,2010
"Preti_2020",5,"Marine","Endotherm","Gut content (lethal)","Paige",34.27,159000,NA,NA,"Mammals",NA,1,2000
"Preti_2020",5,"Marine","Endotherm","Gut content (lethal)","Paige",34.27,159000,NA,NA,"Mammals",NA,1,2000
"Jones_1981",2,"Marine","Endotherm","Gut content (lethal)","Serena",37.89,2051000,NA,NA,"Mammals",NA,1,1971
"Jones_1981",1,"Marine","Endotherm","Gut content (lethal)","Serena",37.53,397500,NA,NA,"Mammals",NA,1,1971
"Jones_1981",1,"Marine","Endotherm","Gut content (lethal)","Serena",37.7,187900,NA,NA,"Mammals",NA,1,1971
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",61.22,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",0,"Marine","Ectotherm","Gut content (lethal)","Serena",64.55,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",0,"Marine","Ectotherm","Gut content (lethal)","Serena",60.21,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",72.92,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",60.21,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",60.21,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",70.6,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",70.6,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",60.21,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",0,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",60.21,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",0,"Marine","Ectotherm","Gut content (lethal)","Serena",72.92,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",60.21,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",8,"Marine","Ectotherm","Gut content (lethal)","Serena",64.55,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",60.21,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",61.22,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",0,"Marine","Ectotherm","Gut content (lethal)","Serena",60.21,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",61.22,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
"Nielsen_2019",55,"Marine","Ectotherm","Gut content (lethal)","Serena",69.57,850000,NA,NA,"Fish",NA,1,2015
