species,order,family,lifestyle,trophic_level,aspect_ratio,MMRsource,MMRmass,MMRtemp,MMR1kg15deg,MMRref,RMRsource,RMRmass,RMRtemp,RMR1kg15deg,RMRref,Brain_brainmass,Brain_bodymass,Brain_percent,Gill_meanSA,Gill_bodymass,Liver_bodymass,Liver_temp,LiverHSI,MuscleFatfreeprotein
Macrozoraces_americanus,Perciformes,Zoarcidae,benthic,3.42,NA,250.09,1000.00,8.00,318.58,"Killen, S. S., Costa, I., Brown, J. A., & Gamperl, A. K. (2007). Little left in the tank: metabolic scaling in marine teleosts and its implications for aerobic scope. Proceedings of the Royal Society of London B: Biological Sciences, 274(1608), 431-438.",67.23,1000.00,8.00,94.19,"Killen, S. S., Costa, I., Brown, J. A., & Gamperl, A. K. (2007). Little left in the tank: metabolic scaling in marine teleosts and its implications for aerobic scope. Proceedings of the Royal Society of London B: Biological Sciences, 274(1608), 431-438.",NA,NA,NA,NA,NA,0.507,5.5,2.475,NA
Mallotus_villosus,Osmeriformes,Osmeridae,pelagic,3.15,NA,NA,NA,NA,,NA,3.08,26.11,3.00,174.29,"Karamushko, L. I., & Christiansen, J. S. (2002). Aerobic scaling and resting metabolism in oviferous and post-spawning Barents Sea capelin Mallotus villosus villosus (Müller, 1776). Journal of experimental marine biology and ecology, 269(1), 1-8.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Melanogrammus_aeglefinus,Gadiformes,Gadidae,benthopelagic,4.09,1.33,44.33,155.92,10.00,300.84,"Tytler, P. (1969). Relationship between oxygen consumption and swimming speed in the haddock, Melanogrammus aeglefinus. Nature, 221, 274-275.",8.21,155.92,10.00,60.87,"Tytler, P. (1969). Relationship between oxygen consumption and swimming speed in the haddock, Melanogrammus aeglefinus. Nature, 221, 274-275.",0.871,622.090,0.140,NA,NA,NA,NA,NA,18.5
Merlangius_merlangus,Gadiformes,Gadidae,benthopelagic,4.37,0.9,47.70,297.00,10.00,176.93,"Steinhausen, M. F., Steffensen, J. F., & Andersen, N. G. (2005). Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming. Marine Biology, 148(1), 197-204.",22.39,297.00,10.00,90.09,"Steinhausen, M. F., Steffensen, J. F., & Andersen, N. G. (2005). Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming. Marine Biology, 148(1), 197-204.",0.144,35.000,0.410,2.340,1.710,NA,NA,NA,18.6
Micropogonias_undulatus,Perciformes,Sciaenidae,benthic,3.31,NA,238.16,274.00,25.00,567.19,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., & Latour, R. J. (2011). Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of fish biology, 79(1), 235-255.",29.29,254.00,25.00,66.35,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., & Latour, R. J. (2011). Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of fish biology, 79(1), 235-255.",NA,NA,NA,NA,NA,NA,NA,NA,19.5
Micropterus_salmoides,Perciformes,Centrarchidae,benthopelagic,3.84,1.69,260.00,1000.00,15.00,260.00,"Beamish, F. W. H. (1970). Oxygen consumption of largemouth bass, Micropterus salmoides, in relation to swimming speed and temperature. Canadian Journal of Zoology, 48(6), 1221-1228.",96.00,1000.00,15.00,96.00,"Beamish, F. W. H. (1970). Oxygen consumption of largemouth bass, Micropterus salmoides, in relation to swimming speed and temperature. Canadian Journal of Zoology, 48(6), 1221-1228.",NA,NA,NA,2.120,1.520,NA,19.753217,0.850,NA
Microstomus_kitt,Pleuronectiformes,Pleuronectidae,benthic,3.25,NA,36.43,221.30,15.00,149.77,"Duthie, G. G. (1982). The respiratory metabolism of temperature-adapted flatfish at rest and during swimming activity and the use of anaerobic metabolism at moderate swimming speeds. Journal of Experimental Biology, 97(1), 359-373.",11.46,221.30,15.00,47.90,"Duthie, G. G. (1982). The respiratory metabolism of temperature-adapted flatfish at rest and during swimming activity and the use of anaerobic metabolism at moderate swimming speeds. Journal of Experimental Biology, 97(1), 359-373.",NA,NA,NA,NA,NA,NA,NA,NA,17.6
Morone_americana,Perciformes,Moronidae,benthic,3.04,NA,27.04,81.72,15.00,282.83,"Neumann, D. A., O'Connor, J. M., & Sherk, J. A. (1981). Oxygen consumption of white perch (Morone americana), striped bass (M. saxatius) and spot (Leiostomus xanthurus). Comparative Biochemistry and Physiology Part A: Physiology, 69(3), 467-478.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3
Morone_saxatilis,Perciformes,Moronidae,benthic,4.5,2.31,119.86,216.25,15.00,503.54,"Neumann, D. A., O'Connor, J. M., & Sherk, J. A. (1981). Oxygen consumption of white perch (Morone americana), striped bass (M. saxatius) and spot (Leiostomus xanthurus). Comparative Biochemistry and Physiology Part A: Physiology, 69(3), 467-478.",NA,NA,NA,NA,NA,NA,NA,NA,3.970,3.490,NA,NA,NA,18.3
Mugil_cephalus,Mugiliformes,Mugilidae,benthopelagic,2.13,2.55,NA,NA,NA,,NA,22.48,166.28,20.33,95.29,"Cech Jr, J. J., & Wohlschlag, D. E. (1982). Seasonal patterns of respiration, gill ventilation, and hematological characteristics in the striped mullet, Mugil cephalus L. Bulletin of Marine Science, 32(1), 130-138.",NA,NA,NA,3.200,2.220,NA,NA,NA,20.4
Mugil_curema,Mugiliformes,Mugilidae,benthopelagic,2.01,NA,NA,NA,NA,,NA,17.99,140.00,20.00,91.22,"Moore, R.H. (1976) Seasonal patterns in the respiratory metabolism of the mullets Mugil cephalus and Mugil curema. Contributions in Marine Science. 20: 133-146.",NA,NA,NA,NA,NA,NA,NA,2.220,20.4
Mylopharyngodon_piceus,Cyrpiniformes,Cyprinidae,benthic,3.2,NA,1.96,7.05,25.00,143.88,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.25,7.05,25.00,17.08,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,18.9
Myoxocephalus_octodecemspinosus,Scorpaeniformes,Cottidae,benthic,3.5,NA,NA,NA,NA,,NA,4.60,72.23,10.00,70.70,"Crawford, R. E. (1978). Different oxygen consumption rates by the longhorn sculpin Myoxocephalus octodecimspinosus in an apparatus designed for shipboard use. Marine Biology, 44(4), 377-381.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoxocephalus_scorpius,Scorpaeniformes,Cottidae,benthic,3.89,NA,23.19,169.00,3.00,185.91,"Killen, S. S., Costa, I., Brown, J. A., & Gamperl, A. K. (2007). Little left in the tank: metabolic scaling in marine teleosts and its implications for aerobic scope. Proceedings of the Royal Society of London B: Biological Sciences, 274(1608), 431-438.",11.47,181.10,3.00,103.32,"Killen, S. S., Costa, I., Brown, J. A., & Gamperl, A. K. (2007). Little left in the tank: metabolic scaling in marine teleosts and its implications for aerobic scope. Proceedings of the Royal Society of London B: Biological Sciences, 274(1608), 431-438.",0.180,153.360,0.117,1.950,1.780,NA,3,2.450,19.4
Neocirrhites_armatus,Perciformes,Cirrhitidae,benthopelagic,3.5,NA,NA,NA,NA,,NA,4.40,7.00,25.00,300.35,"Johnston, I. A., Clarke, A., & Ward, P. (1991). Temperature and metabolic rate in sedentary fish from the Antarctic, North Sea and Indo-West Pacific Ocean. Marine Biology, 109(2), 191-195.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Notothenia_neglecta,Perciformes,Nototheniidae,benthic,3.1,NA,78.30,190.00,0.50,613.14,"Johnston, I. A., Clarke, A., & Ward, P. (1991). Temperature and metabolic rate in sedentary fish from the Antarctic, North Sea and Indo-West Pacific Ocean. Marine Biology, 109(2), 191-195.",12.90,190.10,0.50,125.22,"Johnston, I. A., Clarke, A., & Ward, P. (1991). Temperature and metabolic rate in sedentary fish from the Antarctic, North Sea and Indo-West Pacific Ocean. Marine Biology, 109(2), 191-195.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Notothenia_nudifrons,Perciformes,Nototheniidae,benthic,3.47,NA,NA,NA,NA,,NA,0.24,2.68,3.00,116.73,"Morris, D. J., & North, A. W. (1984). Oxygen consumption of five species of fish from South Georgia. Journal of experimental marine biology and ecology, 78(1), 75-86.",NA,NA,NA,NA,NA,49.1,0,3.800,NA
Notothenia_rossii,Perciformes,Nototheniidae,benthic,3.61,NA,NA,NA,NA,,NA,20.38,519.62,0.60,75.87,"Ralph, R., & Everson, I. (1968). The respiratory metabolism of some Antarctic fish. Comparative Biochemistry and Physiology, 27(1), 299-307.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus_gorbuscha,Salmoniformes,Salmonidae,pelagic,4.19,2.47,2039.04,1600.00,15.00,1312.49,"Clark, T. D., Jeffries, K. M., Hinch, S. G., & Farrell, A. P. (2011). Exceptional aerobic scope and cardiovascular performance of pink salmon (Oncorhynchus gorbuscha) may underlie resilience in a warming climate. The Journal of Experimental Biology, 214(18), 3074-3081.",324.48,1600.00,15.00,207.79,"Clark, T. D., Jeffries, K. M., Hinch, S. G., & Farrell, A. P. (2011). Exceptional aerobic scope and cardiovascular performance of pink salmon (Oncorhynchus gorbuscha) may underlie resilience in a warming climate. The Journal of Experimental Biology, 214(18), 3074-3081.",NA,NA,NA,NA,NA,NA,NA,NA,20.7
Oncorhynchus_mykiss,Salmoniformes,Salmonidae,benthopelagic,4.42,1.69,95.55,300.00,15.00,295.36,"Bushnell, P. G., Steffensen, J. F., & Johansen, K. (1984). Oxygen consumption and swimming performance in hypoxia-acclimated rainbow trout Salmo gairdneri. Journal of Experimental Biology, 113, 25-235.",24.74,300.00,15.00,77.50,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters. Polar Biology, 14(1), 43-48.",NA,NA,NA,2.740,2.510,924.500,8.5,1.355,20.4
Oncorhynchus_nerka,Salmoniformes,Salmonidae,pelagic,3.73,2.7,1995.84,2640.00,15.00,803.41,"Lee, C. G., Farrell, A. P., Lotto, A., MacNutt, M. J., Hinch, S. G., & Healey, M. C. (2003). The effect of temperature on swimming performance and oxygen consumption in adult sockeye (Oncorhynchus nerka) and coho (O. kisutch) salmon stocks. Journal of Experimental Biology, 206(18), 3239-3251.",272.45,2640.00,15.00,108.52,"Lee, C. G., Farrell, A. P., Lotto, A., MacNutt, M. J., Hinch, S. G., & Healey, M. C. (2003). The effect of temperature on swimming performance and oxygen consumption in adult sockeye (Oncorhynchus nerka) and coho (O. kisutch) salmon stocks. Journal of Experimental Biology, 206(18), 3239-3251.",NA,NA,NA,NA,NA,2425.5,15,1.310,22.9
Onychostoma_sp,Cyrpiniformes,Cyprinidae,benthopelagic,2.9,NA,1.06,2.74,25.00,189.17,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.14,2.74,25.00,23.13,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Opsariichthys_bidens,Cyrpiniformes,Cyprinidae,benthopelagic,2.9,NA,3.81,11.70,25.00,174.42,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.90,11.70,25.00,37.59,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreochromis_niloticus,Perciformes,Cichlididae,benthopelagic,2,1.28,316.23,1000.00,15.00,316.23,"Farmer, G. J., & Beamish, F. W. H. (1969). Oxygen consumption of Tilapia nilotica in relation to swimming speed and salinity. Journal of the Fisheries Board of Canada, 26(11), 2807-2821.",134.90,1000.00,15.00,134.90,"Farmer, G. J., & Beamish, F. W. H. (1969). Oxygen consumption of Tilapia nilotica in relation to swimming speed and salinity. Journal of the Fisheries Board of Canada, 26(11), 2807-2821.",0.275,137.480,0.200,3.010,3.000,31.675,27,2.175,16.7
Ostorhinchus_cyanosoma,Perciformes,Apogonidae,benthopelagic,3.4,NA,1.15,1.42,27.00,353.88,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",0.44,1.42,27.00,124.00,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostorhinchus_doederleini,Perciformes,Apogonidae,benthopelagic,3.6,NA,1.57,2.17,27.00,326.19,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",0.51,2.17,27.00,95.58,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Pagothenia_borchgrevinki,Perciformes,Nototheniidae,benthopelagic,3.22,NA,91.73,1000.00,0.00,154.08,"Forster, M. E., Franklin, C. E., Taylor, H. H., & Davison, W. (1987). The aerobic scope of an Antarctic fish, Pagothenia borchgrevinki and its significance for metabolic cold adaptation. Polar Biology, 8(2), 155-159.",23.50,1000.00,0.00,48.41,"Forster, M. E., Franklin, C. E., Taylor, H. H., & Davison, W. (1987). The aerobic scope of an Antarctic fish, Pagothenia borchgrevinki and its significance for metabolic cold adaptation. Polar Biology, 8(2), 155-159.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Pagrus_auratus,Perciformes,Sparidae,benthopelagic,3.32,NA,61.83,179.00,18.00,279.55,"Cook, D. G., Wells, R. M., & Herbert, N. A. (2011). Anaemia adjusts the aerobic physiology of snapper (Pagrus auratus) and modulates hypoxia avoidance behaviour during oxygen choice presentations. The Journal of experimental biology, 214(17), 2927-2934.",23.81,179.00,18.00,105.30,"Cook, D. G., Wells, R. M., & Herbert, N. A. (2011). Anaemia adjusts the aerobic physiology of snapper (Pagrus auratus) and modulates hypoxia avoidance behaviour during oxygen choice presentations. The Journal of experimental biology, 214(17), 2927-2934.",NA,NA,NA,3.370,3.030,NA,NA,NA,20.9
Paracirrhites_acratus,Perciformes,Cirrhitidae,benthopelagic,3.6,NA,NA,NA,NA,,NA,3.40,24.50,24.00,74.25,"Johnston, I. A., Clarke, A., & Ward, P. (1991). Temperature and metabolic rate in sedentary fish from the Antarctic, North Sea and Indo-West Pacific Ocean. Marine Biology, 109(2), 191-195.",0.094,18.900,0.497,NA,NA,NA,NA,NA,NA
Paracirrhites_forsteri,Perciformes,Cirrhitidae,benthopelagic,4.3,NA,NA,NA,NA,,NA,3.70,122.00,24.00,17.63,"Johnston, I. A., Clarke, A., & Ward, P. (1991). Temperature and metabolic rate in sedentary fish from the Antarctic, North Sea and Indo-West Pacific Ocean. Marine Biology, 109(2), 191-195.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoxinus_phoxinus,Cyrpiniformes,Cyprinidae,benthopelagic,3.11,NA,0.82,1.22,10.00,527.45,Killen_unpublished,0.22,1.22,10.00,158.90,Killen_unpublished,0.040,5.800,0.691,NA,NA,NA,NA,NA,NA
Platichthys_flesus,Pleuronectiformes,Pleuronectidae,benthic,3.19,NA,84.92,395.00,15.00,202.83,"Duthie, G. G. (1982). The respiratory metabolism of temperature-adapted flatfish at rest and during swimming activity and the use of anaerobic metabolism at moderate swimming speeds. Journal of Experimental Biology, 97(1), 359-373.",14.50,395.00,15.00,34.99,"Duthie, G. G. (1982). The respiratory metabolism of temperature-adapted flatfish at rest and during swimming activity and the use of anaerobic metabolism at moderate swimming speeds. Journal of Experimental Biology, 97(1), 359-373.",NA,NA,NA,2.900,2.320,NA,15,1.728,16.8
Pleuronectes_platessa,Pleuronectiformes,Pleuronectidae,benthic,3.26,1.01,50.54,280.80,15.00,166.23,"Priede, I. G., & Holliday, F. G. T. (1980). The use of a new tilting tunnel respirometer to investigate some aspects of metabolism and swimming activity of the plaice (Pleuronectes platessa L.). J. exp. Biol, 85, 295-309.",14.30,280.80,15.00,47.67,"Priede, I. G., & Holliday, F. G. T. (1980). The use of a new tilting tunnel respirometer to investigate some aspects of metabolism and swimming activity of the plaice (Pleuronectes platessa L.). J. exp. Biol, 85, 295-309.",0.285,1190.000,0.024,2.430,2.120,NA,15,1.698,16.6
Pollachius_virens,Gadiformes,Gadidae,benthic,4.38,1.3,152.73,485.00,10.00,357.74,"Steinhausen, M. F., Steffensen, J. F., & Andersen, N. G. (2005). Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming. Marine Biology, 148(1), 197-204.",32.88,485.00,10.00,83.10,"Steinhausen, M. F., Steffensen, J. F., & Andersen, N. G. (2005). Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming. Marine Biology, 148(1), 197-204.",1.620,2707.020,0.060,3.700,3.080,NA,NA,NA,18.8
Pomacentrus_moluccensis,Perciformes,Pomacentridae,benthopelagic,2.4,NA,2.05,2.28,27.00,405.49,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",0.92,2.28,27.00,164.62,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomatomus_saltatrix,Perciformes,Pomatomidae,pelagic,4.5,2.55,148.47,221.10,15.00,610.91,"Freadman, M. A. (1981). Swimming energetics of striped bass (Morone saxatilis) and bluefish (Pomatomus saltatrix): hydrodynamic correlates of locomotion and gill ventilation. Journal of Experimental Biology, 90(1), 253-265.",32.21,221.10,15.00,134.73,"Freadman, M. A. (1981). Swimming energetics of striped bass (Morone saxatilis) and bluefish (Pomatomus saltatrix): hydrodynamic correlates of locomotion and gill ventilation. Journal of Experimental Biology, 90(1), 253-265.",NA,NA,NA,3.830,3.010,NA,NA,NA,21.6
Procypris_rabaudi,Cyrpiniformes,Cyprinidae,benthopelagic,3.5,NA,0.62,3.64,25.00,85.45,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.12,3.64,25.00,15.14,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudopleuronectes_americanus,Pleuronectiformes,Pleuronectidae,benthic,2.83,NA,NA,NA,NA,,NA,6.77,33.29,16.00,162.45,"Frame, D. W. (1973). Biology of young winter flounder Pseudopleuronectes americanus (Walbaum); metabolism under simulated estuarine conditions. Transactions of the American Fisheries Society, 102(2), 423-430.",NA,NA,NA,3.170,2.870,NA,NA,NA,NA
Pseudorasbora_parva,Cyrpiniformes,Cyprinidae,benthopelagic,3,NA,0.91,3.29,25.00,136.53,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.11,3.29,25.00,15.64,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinichthys_osculus,Cyrpiniformes,Cyprinidae,benthic,2.93,NA,1.37,2.44,12.00,425.69,"Rajagopal, P. K., & Kramer, R. H. (1974). Respiratory metabolism of Utah chub, Gila atraria (Girard) and speckled dace, Rhinichthys osculus (Girard). Journal of Fish Biology, 6(2), 215-222.",0.10,2.44,12.00,34.43,"Rajagopal, P. K., & Kramer, R. H. (1974). Respiratory metabolism of Utah chub, Gila atraria (Girard) and speckled dace, Rhinichthys osculus (Girard). Journal of Fish Biology, 6(2), 215-222.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinomugil_corsula,Mugiliformes,Mugilidae,pelagic,NA,NA,15.84,44.60,30.00,173.95,"Sukumaran, N., & Kutty, M. N. (1979). Oxygen consumption and nitrogen excretion in mullet, Rhinomugil corsula (Hamilton), with special reference to swimming speed. Proceedings: Animal Sciences, 88(5), 345-351.",4.94,41.20,30.00,49.40,"Sukumaran, N., & Kutty, M. N. (1979). Oxygen consumption and nitrogen excretion in mullet, Rhinomugil corsula (Hamilton), with special reference to swimming speed. Proceedings: Animal Sciences, 88(5), 345-351.",NA,NA,NA,NA,NA,NA,NA,NA,21.1
Rhodeus_ocellatus,Cyrpiniformes,Cyprinidae,benthopelagic,2.7,NA,1.09,3.93,25.00,139.06,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.22,3.93,25.00,25.56,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodeus_sinensis,Cyrpiniformes,Cyprinidae,benthopelagic,2.7,NA,1.99,8.94,25.00,117.46,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.45,8.94,25.00,24.13,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo_trutta,Salmoniformes,Salmonidae,pelagic,3.16,2.2,235.96,1000.00,15.00,235.96,"Norin, T., & Malte, H. (2011). Repeatability of standard metabolic rate, active metabolic rate and aerobic scope in young brown trout during a period of moderate food availability. The Journal of experimental biology, 214(10), 1668-1675.",64.85,1000.00,15.00,64.85,"Norin, T., & Malte, H. (2011). Repeatability of standard metabolic rate, active metabolic rate and aerobic scope in young brown trout during a period of moderate food availability. The Journal of experimental biology, 214(10), 1668-1675.",0.271,271.650,0.100,3.340,2.850,35.470,12.3,0.946,20.7
Salvelinus_alpinus,Salmoniformes,Salmonidae,benthopelagic,4.24,NA,133.35,210.00,15.00,575.85,"Beamish, F. W.H. 1980. Swimming performance and oxygen consumption within the genus Salvelinus. In Charrs: salmonid fishes of the genus Salvelinus. Edited by E.K. Balon. Dr. W. Junk Publishers, The Hague, The Netherlands. gp. 739-748.",16.80,210.00,15.00,73.79,"Beamish, F. W.H. 1980. Swimming performance and oxygen consumption within the genus Salvelinus. In Charrs: salmonid fishes of the genus Salvelinus. Edited by E.K. Balon. Dr. W. Junk Publishers, The Hague, The Netherlands. gp. 739-748.",NA,NA,NA,NA,NA,326.000,4,0.867,22.1
Salvelinus_fontinalis,Salmoniformes,Salmonidae,benthic,3.14,NA,13.82,40.50,15.00,279.20,"Graham, J. M. (1949). Some effects of temperature and oxygen pressure on the metabolism and activity of the speckled trout, Salvelinus fontinalis. Canadian Journal of Research, 27(5), 270-288.",1.84,21.57,15.00,69.86,"Graham, J. M. (1949). Some effects of temperature and oxygen pressure on the metabolism and activity of the speckled trout, Salvelinus fontinalis. Canadian Journal of Research, 27(5), 270-288.",NA,NA,NA,NA,NA,174.667,10,1.688,20.8
Sander_lucioperca,Perciformes,Percidae,pelagic,4.25,NA,166.90,1000.00,16.00,161.23,"Frisk, M., Skov, P. V., & Steffensen, J. F. (2012). Thermal optimum for pikeperch (Sander lucioperca) and the use of ventilation frequency as a predictor of metabolic rate. Aquaculture, 324, 151-157.",40.87,1000.00,16.00,38.95,"Frisk, M., Skov, P. V., & Steffensen, J. F. (2012). Thermal optimum for pikeperch (Sander lucioperca) and the use of ventilation frequency as a predictor of metabolic rate. Aquaculture, 324, 151-157.",NA,NA,NA,3.030,1.840,NA,NA,NA,19.6
Schizothorax_wangchiachii,Cyrpiniformes,Cyprinidae,benthopelagic,2.8,NA,2.87,8.59,25.00,175.28,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.46,8.59,25.00,25.93,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Scolopsis_bilineata,Perciformes,Nemipteridae,benthopelagic,3.62,NA,44.63,97.00,28.00,253.61,"Roche, D. G., Binning, S. A., Bosiger, Y., Johansen, J. L., & Rummer, J. L. (2013). Finding the best estimates of metabolic rates in a coral reef fish. The Journal of experimental biology, 216(11), 2103-2110.",9.61,97.00,28.00,46.93,"Roche, D. G., Binning, S. A., Bosiger, Y., Johansen, J. L., & Rummer, J. L. (2013). Finding the best estimates of metabolic rates in a coral reef fish. The Journal of experimental biology, 216(11), 2103-2110.",0.463,125.000,0.370,NA,NA,NA,NA,NA,NA
Scomber_japonicus,Perciformes,Scombridae,pelagic,3.09,5.16,992.80,1000.00,24.00,727.30,"Sepulveda, C. H. U. G. E. Y., & Dickson, K. A. (2000). Maximum sustainable speeds and cost of swimming in juvenile kawakawa tuna (Euthynnus affinis) and chub mackerel (Scomber japonicus). Journal of Experimental Biology, 203(20), 3089-3101.",465.04,1000.00,24.00,301.44,"Sepulveda, C. H. U. G. E. Y., & Dickson, K. A. (2000). Maximum sustainable speeds and cost of swimming in juvenile kawakawa tuna (Euthynnus affinis) and chub mackerel (Scomber japonicus). Journal of Experimental Biology, 203(20), 3089-3101.",0.660,253.670,0.260,NA,NA,NA,NA,NA,23.1
Scomber_scombrus,Perciformes,Scombridae,pelagic,3.65,4.01,546.39,1150.00,17.00,447.27,Killen_et_al._unpublished,102.10,1150.00,17.00,81.21,Killen_unpublished,0.660,253.670,0.260,3.180,2.460,NA,NA,NA,23.4
Seriola_lalandi,Perciformes,Carangidae,pelagic,4.07,NA,1311.60,2000.00,20.00,576.17,"Clark, T. D., & Seymour, R. S. (2006). Cardiorespiratory physiology and swimming energetics of a high-energy-demand teleost, the yellowtail kingfish (Seriola lalandi). Journal of Experimental Biology, 209(19), 3940-3951.",186.00,2000.00,20.00,75.76,"Clark, T. D., & Seymour, R. S. (2006). Cardiorespiratory physiology and swimming energetics of a high-energy-demand teleost, the yellowtail kingfish (Seriola lalandi). Journal of Experimental Biology, 209(19), 3940-3951.",3.542,5059.640,0.070,2.850,2.170,NA,NA,NA,20.7
