"taxon","mass_g","source_mass","n"
"Aethaloperca",6458,"GenusAverage",1
"Aethalops",13.88,"GenusAverage",6
"Aethia",175.9,"GenusAverage",21
"Aethomys",89.09,"GenusAverage",32
"Aethopyga",6.215,"GenusAverage",37
"Aethotaxis",454.3,"GenusAverage",3
"Aetobatus",118800,"GenusAverage",2
"Aetomylaeus",54910,"GenusAverage",1
"Afrixalus",1.601,"GenusAverage",5
"Afroablepharus",1.461,"GenusAverage",9
"Afroedura",4.542,"GenusAverage",55
"Afrogecko",2.295,"GenusAverage",5
"Afronatrix",93.85,"GenusAverage",2
"Afropavo",1211,"GenusAverage",2
"Afrotis",705.8,"GenusAverage",2
"Afrotyphlops",135,"GenusAverage",35
"Agalmaceros",60000,"GenusAverage",2
"Agama",56.68,"GenusAverage",115
"Agamia",1206,"GenusAverage",4
"Agamodon",4.097,"GenusAverage",6
"Agamura",7.253,"GenusAverage",3
"Agapornis",44.26,"GenusAverage",37
"Agarum",10,"GenusAverage",1
"Agelaioides",57.91,"GenusAverage",5
"Agelaius",46.42,"GenusAverage",19
"Agelastes",757.5,"GenusAverage",4
"Agelasticus",37.41,"GenusAverage",8
"Agelenopsis",0.3267,"GenusAverage",1
"Ageneiosus",1688,"GenusAverage",3
"Agkistrodon",679.6,"GenusAverage",15
"Aglaeactis",6.93,"GenusAverage",10
"Aglaiocercus",5.115,"GenusAverage",7
"Aglantha",0.264,"GenusAverage",1
"Agonostomus",112,"GenusAverage",0
"Agonum",0.007652,"GenusAverage",2
"Agonus",1.308,"GenusAverage",1
"Agouti",9000,"GenusAverage",1
"Agraecina",0.00025,"GenusAverage",1
"Agraylea",0.0005442,"GenusAverage",1
"Agriornis",62.64,"GenusAverage",9
"Agriotes",0.004219,"GenusAverage",2
"Agropsar",49.32,"GenusAverage",1
"Agrotis",0.0483,"GenusAverage",1
"Ahaetulla",366.7,"GenusAverage",13
"Ailia",15,"GenusAverage",1
"Ailuroedus",178,"GenusAverage",7
"Ailuronyx",42.85,"GenusAverage",7
"Ailuropoda",93620,"GenusAverage",10
"Ailurops",7781,"GenusAverage",9
"Ailurus",4560,"GenusAverage",10
"Aimophila",23.09,"GenusAverage",32
"Aipysurus",468.3,"GenusAverage",15
"Aix",545.1,"GenusAverage",14
"Ajaia",1233,"GenusAverage",2
"Akarotaxis",9.3,"GenusAverage",1
"Akialoa",24.38,"GenusAverage",3
"Akodon",32.87,"GenusAverage",161
"Akrokolioplax",35,"GenusAverage",1
"Alaemon",41.5,"GenusAverage",4
"Alauda",29.01,"GenusAverage",14
"Alaudala",22.2,"GenusAverage",1
"Albatrossia",36000,"GenusAverage",1
"Albula",2492,"GenusAverage",2
"Alburnoides",20.62,"GenusAverage",5
"Alburnus",171.6,"GenusAverage",17
"Alca",598.5,"GenusAverage",8
"Alcedo",28.5,"GenusAverage",30
"Alcelaphus",159000,"GenusAverage",17
"Alces",395100,"GenusAverage",16
"Alchornea",510000,"GenusAverage",1
"Alcippe",13.36,"GenusAverage",38
"Alcockpenaeopsis",9.065,"GenusAverage",1
"Aldabrachelys",138100,"GenusAverage",2
"Aldrichetta",807.5,"GenusAverage",3
"Aldrovandia",1047,"GenusAverage",1
"Aleadryas",39.62,"GenusAverage",4
"Alectis",21680,"GenusAverage",3
"Alectoris",540.6,"GenusAverage",24
"Alectroenas",164.6,"GenusAverage",6
"Alectrurus",20.5,"GenusAverage",3
"Alectura",2098,"GenusAverage",6
"Alepes",328.8,"GenusAverage",3
"Alepisaurus",2940,"GenusAverage",0
"Alepocephalus",2718,"GenusAverage",6
"Alestes",260.7,"GenusAverage",1
"Alethe",36.87,"GenusAverage",11
"Alexandresaurus",8.206,"GenusAverage",2
"Alfaro",5.512,"GenusAverage",0
"Algyroides",3.685,"GenusAverage",11
"Aliger",3546,"GenusAverage",1
"Alinea",20.98,"GenusAverage",7
"Alionycteris",16.2,"GenusAverage",4
"Alipiopsitta",246.1,"GenusAverage",2
"Alisterus",180.1,"GenusAverage",9
"Alitta",4.84,"GenusAverage",0
"Allactaga",115.5,"GenusAverage",41
"Allactodipus",67.5,"GenusAverage",2
"Alle",163.4,"GenusAverage",4
"Allenia",69.82,"GenusAverage",1
"Allenopithecus",4286,"GenusAverage",10
"Alligator",57660,"GenusAverage",8
"Allium",1.316,"GenusAverage",1
"Alloblennius",0.5,"GenusAverage",2
"Allocebus",79.62,"GenusAverage",6
"Allochrocebus",5558,"GenusAverage",6
"Allocricetulus",78.84,"GenusAverage",5
"Allocyttus",1539,"GenusAverage",5
"Alloteuthis",14.77,"GenusAverage",0
"Alloxysta",5.86e-05,"GenusAverage",1
"Alluaudina",18.4,"GenusAverage",2
"Alluroteuthis",192.4,"GenusAverage",1
"Alopex",3211,"GenusAverage",3
"Alophoixus",37.99,"GenusAverage",14
"Alopias",193900,"GenusAverage",1
"Alopochelidon",13.98,"GenusAverage",2
"Alopochen",1981,"GenusAverage",5
"Alopoglossus",5.165,"GenusAverage",19
"Alosa",700.5,"GenusAverage",18
"Alouatta",6149,"GenusAverage",68
"Alphestes",159.7,"GenusAverage",0
"Alseis",410000,"GenusAverage",1
"Alsophis",186.1,"GenusAverage",12
"Alsophylax",1.014,"GenusAverage",17
"Alticola",34.28,"GenusAverage",33
"Altiphylax",2.87,"GenusAverage",11
"Aluterus",5128,"GenusAverage",2
"Alytes",7.277,"GenusAverage",4
"Amadina",20.43,"GenusAverage",8
"Amalocichla",32.26,"GenusAverage",4
"Amalosia",7.023,"GenusAverage",9
"Amandava",8.234,"GenusAverage",8
"Amanses",135.5,"GenusAverage",1
"Amapasaurus",0.707,"GenusAverage",2
"Amastridium",74.6,"GenusAverage",2
"Amaurobioides",0.08,"GenusAverage",0
"Amaurocichla",7,"GenusAverage",1
"Amaurolimnas",133,"GenusAverage",2
"Amaurornis",171.3,"GenusAverage",19
"Amaurospiza",13.35,"GenusAverage",6
"Amazilia",4.691,"GenusAverage",94
"Amazona",370.5,"GenusAverage",82
"Amazonetta",438.2,"GenusAverage",4
"Amazonsprattus",0.1,"GenusAverage",1
"Ambassis",44.14,"GenusAverage",3
"Ambastaia",1.2,"GenusAverage",1
"Amblonyx",3000,"GenusAverage",1
"Ambloplites",1911,"GenusAverage",4
"Amblyceps",3.39,"GenusAverage",1
"Amblycercus",66.29,"GenusAverage",3
"Amblychaeturichthys",18.12,"GenusAverage",3
"Amblycirrhitus",7.952,"GenusAverage",0
"Amblydoras",10.3,"GenusAverage",1
"Amblygaster",247,"GenusAverage",1
"Amblyglyphidodon",46.6,"GenusAverage",1
"Amblyodipsas",87.23,"GenusAverage",10
"Amblyomma",1,"GenusAverage",1
"Amblyornis",118.1,"GenusAverage",8
"Amblyospiza",40.02,"GenusAverage",3
"Amblyotrypauchen",37.6,"GenusAverage",1
"Amblypharyngodon",60.83,"GenusAverage",2
"Amblyraja",7317,"GenusAverage",1
"Amblyramphus",55.79,"GenusAverage",3
"Amblyrhiza",93330,"GenusAverage",1
"Amblyrhynchus",3469,"GenusAverage",6
"Amblysomus",55.94,"GenusAverage",16
"Ambystoma",47.87,"GenusAverage",18
"Ameiurus",3365,"GenusAverage",9
"Ameiva",90.49,"GenusAverage",62
