Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AF,,Artiodactyla,Bovidae,Addax,nasomaculatus,,Addax,4.845,70000.316,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AF,,Artiodactyla,Bovidae,Aepyceros,melampus,,"Impala, Black-faced Impala, Common Impala",4.72,52500.084,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AF,,Artiodactyla,Bovidae,Alcelaphus,buselaphus,,Hartebeest,5.233,171001.532,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,AF,,Artiodactyla,Bovidae,Alcelaphus,lichtensteinii, Sigmoceros lichtensteinii, Lichtenstein's hartebeest ,5.234,171498.371,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,AF,,Artiodactyla,Bovidae,Ammodorcas,clarkei,,"Dibatag, Clarke's Gazelle",4.448,28049.815,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AF,,Artiodactyla,Bovidae,Ammotragus,lervia,,"Aoudad, Uaddan, Barbary Sheep",4.681,48000,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,AF,,Artiodactyla,Bovidae,Antidorcas,australis,,southern springobk,4.602,40000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,AF,,Artiodactyla,Bovidae,Antidorcas,bondi,,Bond's springbok,4.531,34000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,AF,,Artiodactyla,Bovidae,Antidorcas,marsupialis,,Springbok,4.498,31500,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,AF,,Artiodactyla,Bovidae,Beatragus,hunteri,Damaliscus hunteri  ,"Hirola, Hunter's Antelope, Herola, Hunter's Hartebeest",4.903,80000.002,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,AF,,Artiodactyla,Bovidae,Bos,taurus," Bos primigenius, Bos indicus",cattle,5.954,9.00E+05,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,AF,,Artiodactyla,Bovidae,Capra,ibex,,"Alpine Ibex, Ibex",5.004,100999.681,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,AF,,Artiodactyla,Bovidae,Capra,nubiana,,Nubian Ibex,4.898,78999.681,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,AF,,Artiodactyla,Bovidae,Capra,walie,,"Walia Ibex, Walia",5,1.00E+05,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,AF,,Artiodactyla,Bovidae,Capricornis,rubidus,Capricornis sumatraensis subspecies rubidus,Red Serow,4.176,14999.957,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,AF,,Artiodactyla,Bovidae,Cephalophus,adersi,,Aders' Duiker,3.966,9249.963,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,AF,,Artiodactyla,Bovidae,Cephalophus,callipygus,,Peters' Duiker,4.261,18249.879,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,AF,,Artiodactyla,Bovidae,Cephalophus,dorsalis,,Bay Duiker,4.301,20000,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,AF,,Artiodactyla,Bovidae,Cephalophus,harveyi,,"Harvey's Duiker, Harvey's Red Duiker, East African Red Duiker",4.161,14500.067,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,AF,,Artiodactyla,Bovidae,Cephalophus,jentinki,,Jentink's Duiker,4.845,70000.316,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,AF,,Artiodactyla,Bovidae,Cephalophus,leucogaster,,White-bellied Duiker,4.104,12699.891,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,AF,,Artiodactyla,Bovidae,Cephalophus,monticola, Philantomba monticola, ,3.796,6250,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,AF,,Artiodactyla,Bovidae,Cephalophus,natalensis,,"Natal Red Duiker, Red Forest Duiker, Natal Duiker",4.079,11999.966,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,AF,,Artiodactyla,Bovidae,Cephalophus,niger,Antilope  pluto,Black Duiker,4.31,20399.992,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,AF,,Artiodactyla,Bovidae,Cephalophus,nigrifrons,,Black-fronted Duiker,4.143,13899.846,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,AF,,Artiodactyla,Bovidae,Cephalophus,ogilbyi,Antilope ogilbyi,Ogilby's Duiker,4.301,20000,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
