Genus,Species,M,T,RBT,RSA,M,T,RBT,RSA
Lepidosiren,paradoxa,864,25,1.38,518,-58,-58,-58,-58
Lepidosiren,paradoxa,760,25,1.1,,-58,-58,-58,
Leptocottus,armatus,33,12,1.68,137,-54,-54,-54,-54
Limanda,limanda,258,15,2.53,304.5,-59,-60,-61,-59
Notropis,cornutus,11,16,2.68,26,-55,-55,-55,-55
Oncorhynchus,mykiss,389,10,3.9,933.6,-62,-62,-62,-63
Perca,flavescens,7,17.6,3.22,18.86,-55,-64,-55,-55
Pleuronectes,platessa,182,8.5,3.85,184.6,-59,-65,-61,-59
Prochilodus,scrofa,21,25,1.11,,-66,-66,-66,
Scyliorhinus,stellaris,2355,17.6,9.4,3416,-67,-67,-67,-67
Tinca,tinca,141,15,2.47,269.73,-63,-63,-63,-63
