No.,Family,Genus name,Species name,Adult female mass,Source (female mass),Gestation length,First source (gestation),Gestation length (2),Second source (gestation),Litter size.,First source (litter size),Litter size. (2),Second source (litter size),Litter size. (3),Third source (litter size),Age at weaning,First source (age at weaning),Age at weaning.,Second source (age at weaning),Age at weaning. (2),Third source (age at weaning),Inter-birth interval.,First source (inter-birth interval),Inter-birth interval. (2),Second source (inter-birth interval),Female age at maturity,First source (age at maturity),Female age at maturity.,Second source (age at maturity),Female age at maturity (2),Third source (age at maturity),Maximum lifespan,First source (lifespan),Maximum lifespan (2),Second source (lifespan),Mass at birth,First source (mass at birth),Mass at birth (2),Second source (mass at birth),Mass at pouch vacation,First source (mass at pouch vacation),Mass at pouch vacation (2),Second source (mass at pouch vacation),Mass at pouch vacation (3),Third source (mass at pouch vacation),Mass at weaning,First source (mass at weaning),Mass at weaning (2),Second source (mass at weaning),Mass at weaning (3),Third source (mass at weaning),Female mass at maturity,Source (mass at maturity),diet type,First source (diet),Second source (diet),Mean group size,First source (group size),Mean group size (2),Second source (group size),Mean group size (3),Third source (group size),Population density,First source (density),Population density.,Second source (density),Population density. (2),Third source (density),Mean annual rainfall,Source (rainfall),diurnality,Source (diurnality),shelter type,Source (shelter),arboreality,Source (arboreality)
48,Macropodidae,Dorcopsis,muelleri,5000,Flannery 1990,_,_,_,_,1,Flannery 1990,_,_,_,_,270,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,4775,McAlpine et al. 1975.,_,_,3,Flannery 1990,2,Flannery 1990
49,Microbiotheriidae,Dromiciops,gliroides,24,Hershkovitz 1999,_,_,_,_,4,Hershkovitz 1999,2.5,Eisenberg 1988,_,_,_,_,_,_,_,_,365,Hunsaker 1977,_,_,365,Hershkovitz 1999,_,_,_,_,3,Hershkovitz 1999,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Meserve et al. 1988,_,1,Hershkovitz 1999,_,_,_,_,0.5,Redford & Eisenberg 1992,_,_,_,_,_,_,_,_,1,Hershkovitz 1999,1,Hershkovitz 1999
50,Peroryctidae,Echymipera.,kalubu,600,Flannery 1990,_,_,_,_,3,Anderson et al. 1988,_,_,_,_,_,_,_,_,_,_,120,Anderson et al. 1988,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,450,Anderson et al. 1988,3,Flannery 1990,_,1,Collins 1973,_,_,_,_,_,_,_,_,_,_,_,_,_,_,2,Anderson et al. 1988,2,Anderson et al. 1988
51,Petauridae,Gymnobelideus,leadbeateri,133,Smith 1995a,17,Smith 1995b,_,_,1.6,Smith 1995b,1.4,Booth 1995,_,_,111,Smith 1995a,120,Tyndale-Biscoe 1984,_,_,183,Smith 1995a,_,_,365,Booth 1995,540,Tyndale-Biscoe 1984,_,_,8,Smith 1995b,11,Smith & Lee 1984,_,_,_,_,_,_,_,_,_,_,34,Smith 1995b,42,Smith & Lee 1984,_,_,_,_,3,Smith 1995a,_,8,Smith 1995a,_,_,_,_,2.9,Smith 1995b,2.3,Smith 1984a,_,_,1600,AUSLIG 1980,2,Smith 1995a,1,Smith 1995a,1,Smith 1984a
52,Pseudocheiridae,Hemibelideus,lemuroides,925,Winter & Goudberg 1995c,_,_,_,_,1,Winter & Goudberg 1995c,_,_,_,_,_,_,_,_,_,_,365,Winter & Goudberg 1995c,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Winter & Goudberg 1995c,_,2.5,Winter & Goudberg 1995c,1.37,Winter & Atherton 1984,_,_,7,pers. comm. J. Winter,_,_,_,_,2400,AUSLIG 1980,2,Winter & Goudberg 1995c,1,Winter & Goudberg 1995c,1,Winter & Goudberg 1995c
53,Potoroidae,Hypsiprymnodon,moschatus,511,Dennis & Johnson 1995a,_,_,_,_,2.1,Dennis & Marsh 1997,_,_,_,_,270,Dennis & Marsh 1997,_,_,_,_,365,Dennis & Marsh 1997,_,_,635,Dennis & Marsh 1997,365,Johnson & Strahan 1982,_,_,6,Dennis 1997,_,_,_,_,_,_,145,Dennis & Marsh 1997,_,_,_,_,250,Dennis & Marsh 1997,_,_,_,_,500,Dennis & Marsh 1997,2,Dennis & Marsh 1997,_,1,Dennis & Johnson 1995a,_,_,_,_,2.4,Dennis 1997,_,_,_,_,3187,Dennis & Marsh 1997,1,Dennis & Johnson 1995a,2,Dennis & Johnson 1995a,2,Dennis & Johnson 1995a
54,Peramelidae,Isoodon,auratus,485,McKenzie et al. 1995,_,_,_,_,2.6,Southgate et al. 1996,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,McKenzie et al. 1995.,Southgate et al. 1996,1,Southgate et al. 1996,_,_,_,_,10,McKenzie et al. 1995,_,_,_,_,330,Withers 1993,2,McKenzie et al. 1995,3,McKenzie et al. 1995,2,Southgate et al. 1996
55,Peramelidae,Isoodon,macrourus,1100,Gordon 1995,12.5,Gordon 1995,12.5,Lyne 1964,2.9,Hall 1983,3.4,Gordon 1974,3.6,Gemmell et al. 1984,60,Gordon 1995,60,Gemmell 1982,_,_,121.7,Gordon 1971,_,_,105,Gordon 1995,170,Gordon 1971,241,Gemmell 1986,2.1,Gemmell 1990,_,_,0.18,MacKerras & Smith 1960,_,_,70,Hall 1990,_,_,_,_,150,Hall 1990,150,MacKerras & Smith 1960,_,_,734,Gemmell 1986,3,Gordon 1995,_,1,Hall 1983,1,Gordon 1974,_,_,0.7,Friend 1990,_,_,_,_,1300,Gordon 1971,2,Gordon 1995,2,Gordon 1995,2,Gordon 1995
56,Peramelidae,Isoodon,obesulus,700,Braithwaite 1995,_,_,_,_,2.8,Heinsohn 1966,2.33,Lyne 1964,3.05,Mallick et al. 1998b,65,Braithwaite 1995,60,Lobert & Lee 1990,_,_,140,Stoddart & Braithwaite 1979,_,_,210,Lobert & Lee 1990,_,_,_,_,3.5,Lobert & Lee 1990,3.75,Mallick et al. 1998b,0.35,Heinsohn 1966,_,_,_,_,_,_,_,_,125,Lobert & Lee 1990,_,_,_,_,560,Heinsohn 1966,3,Braithwaite 1995.,Mallick et al. 1998a,1,Braithwaite 1995,_,_,_,_,3,Lobert & Lee 1990,0.35,Mallick et al. 1998b,2.1,Stoddart & Braithwaite 1979,800,Lobert & Lee 1990,1,Lobert & Lee 1990,2,Braithwaite 1995b,2,Braithwaite 1995b
57,Macropodidae,Lagorchestes,conspicillatus,3000,Burbidge & Johnson 1995,30,Johnson & Lyon 1985,_,_,1,Johnson 1993,_,_,_,_,204,Johnson 1993,_,_,_,_,153,Johnson 1993,_,_,363,Johnson 1993,_,_,_,_,6,McCosker 1998.,5,Lavery & Kirkpatrick 1985,_,_,_,_,950,McCosker 1998,_,_,_,_,_,_,_,_,_,_,_,_,1,Ingleby & Westoby 1992,_,1,McCosker 1998,_,_,_,_,0.42,Burbidge & Johnson 1995,_,_,_,_,500,AUSLIG 1980,2,Johnson & Lyon 1985,3,Johnson & Lyon 1985,2,Burbidge & Johnson 1995
58,Macropodidae,Lagorchestes,hirsutus,1310,Johnson & Burbidge 1995,_,_,_,_,1,Johnson & Burbidge 1995,_,_,_,_,150,Lundie-Jenkins 1993a,_,_,_,_,125,Lundie-Jenkins 1993a,_,_,315,Lundie-Jenkins 1993a,345,Johnson & Burbidge 1995,_,_,8,Pers. comm. J. Courtenay,_,_,_,_,_,_,500,Pers. comm. J. Courtenay,320,Lundie-Jenkins 1993a,_,_,1000,Lundie-Jenkins 1993a,_,_,_,_,1300,Lundie-Jenkins 1993a,1,Lundie-Jenkins et al. 1993,_,1,Johnson & Burbidge 1995,_,_,_,_,0.07,Lundie-Jenkins 1998,0.47,Short & Turner 1992,_,_,150,AUSLIG 1980,2,Lundie-Jenkins 1993b,3,Johnson & Burbidge 1995,2,Johnson & Burbidge1995
