No.,Family,Genus name,Species name,Adult female mass,Source (female mass),Gestation length,First source (gestation),Gestation length (2),Second source (gestation),Litter size.,First source (litter size),Litter size. (2),Second source (litter size),Litter size. (3),Third source (litter size),Age at weaning,First source (age at weaning),Age at weaning.,Second source (age at weaning),Age at weaning. (2),Third source (age at weaning),Inter-birth interval.,First source (inter-birth interval),Inter-birth interval. (2),Second source (inter-birth interval),Female age at maturity,First source (age at maturity),Female age at maturity.,Second source (age at maturity),Female age at maturity (2),Third source (age at maturity),Maximum lifespan,First source (lifespan),Maximum lifespan (2),Second source (lifespan),Mass at birth,First source (mass at birth),Mass at birth (2),Second source (mass at birth),Mass at pouch vacation,First source (mass at pouch vacation),Mass at pouch vacation (2),Second source (mass at pouch vacation),Mass at pouch vacation (3),Third source (mass at pouch vacation),Mass at weaning,First source (mass at weaning),Mass at weaning (2),Second source (mass at weaning),Mass at weaning (3),Third source (mass at weaning),Female mass at maturity,Source (mass at maturity),diet type,First source (diet),Second source (diet),Mean group size,First source (group size),Mean group size (2),Second source (group size),Mean group size (3),Third source (group size),Population density,First source (density),Population density.,Second source (density),Population density. (2),Third source (density),Mean annual rainfall,Source (rainfall),diurnality,Source (diurnality),shelter type,Source (shelter),arboreality,Source (arboreality)
74,Macropodidae,Macropus,rufogriseus,14000,Calaby 1995c,27,Merchant & Calaby 1981,30,Calaby 1995c,1,Calaby 1995c,_,_,_,_,493,Merchant & Calaby 1981,420,Calaby 1995,_,_,365,Merchant & Calaby 1981,_,_,428,Merchant & Calaby 1981,_,_,_,_,_,_,_,_,0.48,Merchant & Calaby 1981,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Calaby 1995c,_,1.5,Calaby 1995c,_,_,_,_,2.5,TNPWS 1984,_,_,_,_,1200,AUSLIG 1980,1,Calaby 1995c,3,Calaby 1995c,2,Calaby 1995c
75,Macropodidae,Macropus,rufus,26500,Newsome 1995,33,Newsome 1995,_,_,1,Newsome 1995,_,_,_,_,360,Sharman et al. 1964,408,Sharman & Pilton 1963,355,Sharman & Calaby 1964,241,Sharman & Pilton 1963,_,_,913,Newsome 1965,613,Sharman & Pilton 1963,510,Sharman & Calaby 1964,25,Kirkpatrick 1965,_,_,0.75,Sharman & Pilton 1963,0.82,Sharman et al. 1964,4900,Sharman & Pilton 1963,_,_,_,_,12000,Russell 1982,11000,Sharman & Pilton 1963,_,_,22000,Moss & Croft 1999,1,Ellis et al. 1977,_,2.6,Clancy & Croft 1991,2.2,Croft 1981,2.6,Johnson 1983,0.17,Bayliss 1987,0.006,Newsome 1965,0.16,Johnson & Bayliss 1981,150,AUSLIG 1980,1,Newsome 1995,3,Newsome 1995,2,Newsome 1995
76,Peramelidae,Macrotis,lagotis,1100,Johnson 1995a,14,McCracken 1990,_,_,2,Johnson 1995a,1.47,McCracken 1990,_,_,94,Johnson 1995a,127,McCracken 1986,_,_,175,Johnson 1995a,_,_,150,McCracken 1990,_,_,_,_,7.2,Collins 1973,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,4,Johnson 1995a.,Southgate 1990,2,Johnson 1995a,_,_,_,_,_,_,_,_,_,_,175,AUSLIG 1980,2,Johnson 1995a,1,Johnson 1995a,2,Southgate 1990
77,Peramelidae,Macrotis,leucura,311,Johnson 1995f,_,_,_,_,2,Johnson 1995f,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,4,Johnson 1995f,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Johnson 1995f,2,Johnson 1995f
78,Didelphidae,Marmosa,canescens,40,Silva & Downing 1995,_,_,_,_,11.7,Ceballos 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,20,Ceballos 1990,_,_,_,_,_,_,_,_,_,1,Ceballos 1990,_,_,_,_,4.5,Ceballos 1990,_,_,_,_,_,_,_,_,1,Ceballos 1990,1,Ceballos 1990
79,Didelphidae,Marmosa,murina,45,Silva & Downing 1995,_,_,_,_,8.5,Charles-Dominique et al. 1983,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Emmons & Feer 1997,_,1,Emmons & Feer 1997,_,_,_,_,_,_,_,_,_,_,3500,Atramentowicz 1986,2,Emmons & Feer 1997,_,_,_,_
80,Didelphidae,Marmosa,robinsoni,60,Silva & Downing 1995,14,Barnes & Barthold 1969,13.5,Godfrey 1975,10,Fleming 1973,13,O’Connell 1979,8,Hunsaker 1977,65,O’Connell 1983,_,_,_,_,85,Hunsaker 1977,183,O’Connell 1983,180,Collins 1973,270,Hunsaker 1977,280,Barnes & Wolf 1971,2,Collins 1973,0.79,O’Connell 1979,0.06,Hunsaker 1977,_,_,_,_,_,_,_,_,10,Hunsaker 1977,11,Barnes & Wolf 1971,_,_,40,Collins 1973,3,Emmons & Feer 1997,_,1,Emmons & Feer 1997,_,_,_,_,2.25,Fleming 1972,4.25,O’Connell 1987,_,_,3400,Fleming 1973,2,Emmons & Feer 1997,_,_,_,_
81,Didelphidae,Metachirus,nudicaudatus,300,Harder & Fleck 1997,_,_,_,_,5,Eisenberg & Wilson 1981,3,Hunsaker 1977,_,_,_,_,_,_,_,_,365,Hunsaker 1977,_,_,_,_,_,_,_,_,2,Collins 1973,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Emmons & Feer 1997.,Santorini et al 1996,1,Santorini et al. 1996,_,_,_,_,_,_,_,_,_,_,3000,Eisenberg & Wilson 1981,2,Emmons & Feer 1997,2,Emmons & Feer 1997,2,Emmons & Feer 1997
82,Didelphidae,Micoureus,demerarae,130,Pires & Fernandez 1999,_,_,_,_,6.3,Charles-Dominique et al. 1983,_,_,_,_,_,_,_,_,_,_,_,_,_,_,285,O’Connell 1979,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Leite et al. 1996,_,1,Emmons & Feer 1997,_,_,_,_,1.45,Pires & Fernandez 1999,_,_,_,_,1700,Pires & Fernandez 1999,2,Emmons & Feer 1997,1,Emmons & Feer 1997,1,Leite et al. 1996
83,Peroryctidae,Microperoryctes,longicauda,600,Flannery 1990,_,_,_,_,1,Alpin & Woolley 1993,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Flannery 1990,_,_,_,_,_,_,_,_,_,_,4470,McAlpine et al. 1975.,_,_,2,Flannery 1990,2,Flannery 1990
84,Peroryctidae,Microperoryctes,papuensis,144,Alpin & Woolley 1993,_,_,_,_,1,Alpin & Woolley 1993,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Alpin & Woolley 1993,_,_,_,_,_,_,_,_,_,_,_,_,_,_,2,Flannery 1990,2,Flannery 1990
85,Didelphidae,Monodelphis,brevicaudata,70,Silva & Downing 1995,_,_,_,_,7,O’Connell 1979,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,O’Connell 1979,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Emmons & Feer 1997,_,1,Emmons & Feer 1997,_,_,_,_,1,O’Connell 1987,_,_,_,_,_,_,1,Emmons & Feer 1997,_,_,_,_
86,Didelphidae,Monodelphis,dimidiata,33,Bergallo & Cerqueira 1994,_,_,_,_,12,Bergallo & Cerqueira 1994,11,Eisenberg 1988,_,_,56,Pine et al. 1985,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Pine et al. 1985,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
87,Didelphidae,Monodelphis,domestica,80,Bergallo & Cerqueira 1994,14,Vandeberg 1990,_,_,7.3,Streilein 1982,7.3,Vandeberg 1990,7.9,Bergallo & Cerqueira 1994,56,Harder et al. 1993,70,Vandeberg 1990,_,_,_,_,_,_,180,Streilein 1982,165,Vandeberg 1990,_,_,4.5,Vandeberg 1990,_,_,0.097,Vandeberg 1990,_,_,_,_,_,_,_,_,21.2,Cothran et al. 1985,21,Vandeberg 1990,_,_,_,_,3,Emmons & Feer 1997,_,1,Emmons & Feer 1997,_,_,_,_,4,Streilein 1982,_,_,_,_,1000,Streilein 1982,1,Emmons & Feer 1997,2,Streilein 1982,2,Emmons & Feer 1997
88,Dasyuridae,Murexia,melanurus,27,Dwyer 1977,_,_,_,_,3.5,Dwyer 1977,_,_,_,_,_,_,_,_,_,_,_,_,_,_,330,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Flannery 1990,_,_,_,_,_,_,_,1.5,Rudd & Stevens 1996,_,_,_,_,4470,McAlpine et al. 1975.,_,_,1,Dwyer 1977,1,Dwyer 1977
89,Dasyuridae,Murexia,naso,43,Flannery 1990,_,_,_,_,4,Dwyer 1977,_,_,_,_,_,_,_,_,_,_,_,_,_,_,330,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Flannery 1990,_,1,Dwyer 1977,_,_,_,_,1.5,Rudd & Stevens 1996,_,_,_,_,4470,McAlpine et al. 1975.,_,_,_,_,_,_
90,Myrmecobiidae,Myrmecobius.,fasciatus,459,Friend 1995,14,Friend 1995,_,_,4,Friend 1995,_,_,_,_,270,Friend 1995,_,_,_,_,365,Friend 1995,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Christensen et al. 1984,_,1,Friend 1995,_,_,_,_,0.053,Friend 1995,_,_,_,_,500,AUSLIG 1980,1,Friend 1995,2,Friend 1995,2,Friend 1995
91,Dasyuridae,Ningaui,ridei,8.5,McKenzie & Dickman 1995,13.5,Fanning 1982,_,_,6,Fanning 1982,_,_,_,_,91,Fanning 1982,_,_,_,_,365,Fanning 1982,_,_,290,Fanning 1982,_,_,_,_,2,Aslin 1982,_,_,0.005,Fanning 1982,_,_,0.7,Fanning 1982,_,_,_,_,_,_,_,_,_,_,_,_,3,McKenzie & Dickman 1995,_,1,McKenzie & Dickman 1995,_,_,_,_,_,_,_,_,_,_,150,AUSLIG 1980,2,McKenzie & Dickman 1995,1,McKenzie & Dickman 1995,2,McKenzie & Dickman 1995
92,Dasyuridae,Ningaui,timealyi,5.8,Dunlop & Saule 1982,_,_,_,_,5.7,Dunlop & Saule 1982,_,_,_,_,_,_,_,_,_,_,365,Dunlop & Saule 1982,_,_,_,_,_,_,_,_,1,Dunlop 1995,_,_,_,_,_,_,_,_,_,_,_,_,2,Dunlop & Saule 1982,_,_,_,_,5,Dunlop & Saule 1982,3,Dunlop 1995,_,1,Dunlop & Saule 1982,_,_,_,_,_,_,_,_,_,_,200,AUSLIG 1980,1,Dunlop 1995,3,Dunlop 1995,2,Dunlop & Saule 1982
93,Notoryctidae,Notoryctes,typhlops,55,Johnson 1995b,_,_,_,_,1,Collins 1973,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Abensperg-Traun & Steven 1997,_,1,Johnson 1995b,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Johnson 1995b,2,Johnson 1995b
94,Macropodidae,Onychogalea,fraenata,3400,Fisher & Lara 1999,23,Johnson 1997,_,_,1,Johnson 1997,_,_,_,_,165,Fisher 1999,_,_,_,_,125,Fisher 1999,_,_,185,Johnson 1997,_,_,_,_,5,Fisher et al. 2000,_,_,_,_,_,_,800,Fisher 1999,_,_,_,_,1900,Fisher 1999,_,_,_,_,2300,Fisher 1999,1,Ellis et al. 1992.,Evans and Jarman 1999,1.1,Fisher 1999,_,_,_,_,0.2,Fisher et al. 2000,_,_,_,_,700,AUSLIG 1980,2,Evans 1996,3,Fisher et al. 2000,2,Evans & Gordon 1995
95,Macropodidae,Onychogalea,unguifera,5800,Ingleby & Gordon 1995,_,_,_,_,1,Ingleby & Gordon 1995,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Ingleby et al. 1989,_,1,Ingleby & Gordon 1995,_,_,_,_,_,_,_,_,_,_,800,AUSLIG 1980,2,Ingleby & Gordon 1995,3,Ingleby & Gordon 1995,2,Ingleby & Gordon 1995
96,Dasyuridae,Parantechinus,apicalis,58,Woolley 1995f,_,_,_,_,_,_,_,_,_,_,105,Woolley 1995f,105,Dickman & Braithwaite 1992,_,_,365,Woolley 1995f,365,Woolley 1991b,315,Woolley 1995f,_,_,_,_,2,Woolley 1995f,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Woolley 1995f,_,1,Dickman and Braithwaite 1992,_,_,_,_,6,Dickman and Braithwaite 1992,_,_,_,_,1000,AUSLIG 1980,_,_,2,Woolley 1995f,2,Dickman & Braithwaite 1992
97,Dasyuridae,Parantechinus,bilarni,25,Woolley & Begg 1995,38,Woolley & Begg 1995,40,Woolley 1995c,4.5,Woolley & Begg 1995,5,Begg 1981a,5,Calaby & Taylor 1981,89,Begg 1981a,112,Woolley 1995,_,_,365,Begg 1981a,_,_,330,Begg 1981a,_,_,_,_,2.7,Begg 1981a,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Woolley & Begg 1995,_,1,Calaby & Taylor 1981,_,_,_,_,_,_,_,_,_,_,1600,AUSLIG 1980,2,Calaby & Taylor 1981,2,Woolley & Begg 1995,2,Begg 1981a
98,Macropodidae,Peradorcas,concinna,1350,Sanson 1995,33,Sanson 1995,_,_,1,Sanson 1995,_,_,_,_,175,Nelson & Goldstone 1986,210,Sanson et al. 1985,_,_,171,Nelson & Goldstone 1986,_,_,440,Nelson & Goldstone 1986,_,_,_,_,17,pers. comm. G. Sanson,_,_,_,_,_,_,200,Nelson & Goldstone 1986,_,_,_,_,300,Nelson & Goldstone 1986,_,_,_,_,_,_,1,Sanson et al. 1985,_,1,Sanson 1995,_,_,_,_,_,_,_,_,_,_,1200,AUSLIG 1980,1,Sanson 1995,2,Sanson 1995,2,Sanson 1995
99,Peramelidae,Perameles,bougainville,226,Friend & Burbidge 1995,_,_,_,_,1.8,Short et al. 1998,_,_,_,_,_,_,_,_,_,_,_,_,_,_,120,Short et al. 1998,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,100,Short et al. 1998,_,_,_,_,170,Short et al. 1998,3,Friend & Burbidge 1995,_,1.03,Short et al. 1998,_,_,_,_,0.34,Short et al. 1997,_,_,_,_,300,AUSLIG 1980,2,Friend & Burbidge 1995,2,Friend & Burbidge 1995,2,Short et al. 1998
100,Peramelidae,Perameles,eremiana,_,_,_,_,_,_,2?,Gordon 1995,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Gordon 1995,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,2,Gordon 1995,2,Gordon 1995
101,Peramelidae,Perameles,gunnii,750,Seebeck 1995a,12.5,Seebeck 1995a,12,Seebeck 1979,2.23,Lyne 1964,2.2,Dufty 1994,2.8,Seebeck 1979,57,Dufty 1995,60,Heinsohn 1966,_,_,60,Seebeck 1979,96,Heinsohn 1966,90,Seebeck 1995a,109,Dufty 1995,105,Dufty 1994,3,Seebeck 1995a,2,Dufty 1991,_,_,_,_,81,Dufty 1995,82.5,Heinsohn 1966,_,_,220,Dufty 1995,190,Dufty 1991,_,_,510,Heinsohn 1966,4,Heinsohn 1966,_,1,Seebeck 1995a,_,_,_,_,8.5,Seebeck 1995a,4.8,Dufty 1991,_,_,600,AUSLIG 1980,2,Seebeck 1995a,2,Seebeck 1995a,2,Dufty 1991
102,Peramelidae,Perameles,nasuta,859,Lyne 1964,12.5,Stodart 1995,_,_,3,Stodart 1995,2.44,Lyne 1964,2.6,Lyne 1982,60,Stodart 1995,63,Stodart 1977,75,Lyne 1971,53,Lyne 1964,_,_,150,Stodart 1995,120,Ride 1970,_,_,_,_,_,_,0.25,Stodart 1995,0.24,Lyne 1964,75,Lyne 1964,_,_,_,_,150,Lyne 1964,_,_,_,_,450,Lyne 1964,3,Stodart 1995.,Claridge 1993,1,Stodart 1995,_,_,_,_,0.9,pers. comm. S. Burnett,_,_,_,_,900,AUSLIG 1980,2,Stodart 1995,2,Stodart 1995,2,Lyne 1964
103,Pseudocheiridae,Petauroides,volans,1700,McKay 1995,_,_,_,_,1,McKay 1995,_,_,_,_,270,McKay 1995,230,Tyndale-Biscoe 1984,_,_,521,Tyndale-Biscoe 1984,365,Smith 1969,730,McKay 1995,730,Smith 1969,_,_,15,Collins 1973,_,_,0.27,Tyndale-Biscoe 1984,_,_,150,Smith 1969,134,Collins 1973,_,_,600,Tyndale-Biscoe 1984,500,Smith 1969,_,_,1000,Collins 1973,1,McKay 1995.,Comport et al. 1996,1,McKay 1995,1.16,Smith 1969,_,_,0.69,Tyndale-Biscoe & Smith 1969,0.56,Henry 1984,2.3,Kehl & Borsboom 1984,900,AUSLIG 1980,2,McKay 1995,1,McKay 1995,1,McKay 1995
104,Burramyidae,Petaurus,australis,528,Silva & Downing 1995,_,_,_,_,1,Russell 1995,_,_,_,_,145,Russell 1995,_,_,_,_,439,Goldingay & Kavanagh 1990,_,_,730,Goldingay & Kavanagh 1990,720,Russell 1984,_,_,6,Goldingay & Kavanagh 1990,16,Slater 1997,_,_,_,_,_,_,_,_,_,_,285,Smith & Lee 1984,_,_,_,_,_,_,2,Russell 1995.,Goldingay 1986,1,Goldingay 1989,4.2,Goldingay 1992,2.6,Goldingay & Kavanagh 1990,0.14,Russell 1995,0.16,Goldingay 1992,0.05,Henry & Craig 1984,1100,AUSLIG 1980,2,Russell 1995,1,Russell 1995,1,Russell 1995
105,Petauridae,Petaurus,breviceps,115,Suckling 1995a,16,Tyndale-Biscoe 1984,17,Clark 1967,1.8,Suckling 1984,2.4,Tyndale-Biscoe 1984,1.93,Quin 1995,120,Suckling 1995a,_,_,_,_,332,Suckling 1984,290,Quin 1995,240,Tyndale-Biscoe 1984,450,Smith 1971,_,_,9,Suckling 1995a,7,Henry & Suckling 1984,0.18,Tyndale-Biscoe 1984,0.19,Clark 1967,20,Henry & Suckling 1984,_,_,_,_,75,Tyndale-Biscoe 1984,45,Smith & Lee 1984,54,Henry & Suckling 1984,_,_,2,Suckling 1995a.,Henry & Suckling 1984,1,Sadler & Ward 1999,_,_,_,_,10,Suckling 1995a,0.54,Quin 1995,4.5,Suckling 1984,1200,AUSLIG 1980,2,Suckling 1995a,1,Suckling 1984,1,Henry & Suckling 1984
106,Petauridae,Petaurus,gracilis,343,Van Dyck 1995b,_,_,_,_,1.75,Van Dyck 1993,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,2,Van Dyck 1995b,_,2,Van Dyck 1995b,_,_,_,_,0.12,pers. Comm. S. Jackson,_,_,_,_,2400,AUSLIG 1980,2,Van Dyck 1995b,1,Van Dyck 1995b,1,Van Dyck 1993
107,Petauridae,Petaurus,norfolcensis,230,Suckling 1995b,_,_,_,_,1.8,Quin 1995,_,_,_,_,120,Suckling 1995b,_,_,_,_,183,Suckling 1995b,_,_,_,_,_,_,_,_,6,Quin 1995,12,Collins 1973,_,_,_,_,70,Smith 1979b,_,_,_,_,_,_,_,_,_,_,_,_,3,Suckling 1995b,_,5,Suckling 1995b,_,_,_,_,3,Suckling 1995b,0.4,Traill & Coates 1993,1.22,Quin 1995,1000,AUSLIG 1980,2,Suckling 1995b,1,Suckling 1995b,1,Suckling 1995b
108,Macropodidae,Petrogale,assimilis,4300,Eldridge & Close 1995a,31,Eldridge & Close 1995a,_,_,1,Eldridge & Close 1995a,_,_,_,_,326,Delaney 1997,267,Close & Bell 1990,_,_,200,Close & Bell 1990,_,_,525,Delaney 1997,_,_,_,_,13,Eldridge & Close 1995a,12,Delaney & Marsh 1995,_,_,_,_,735,Close & Bell 1990,500,Barker 1990,_,_,1700,Spencer 1996,_,_,_,_,2500,Bell et al. 1989,1,Horsup & Marsh 1992,_,1.3,Horsup 1996,_,_,_,_,1.25,Spencer 1996,0.47,pers. comm A. Horsup,_,_,738,Delaney 1997,2,Horsup 1994,2,Horsup 1994,2,Eldridge & Close 1995a
109,Macropodidae,Petrogale,brachyotis,3700,Sharman et al. 1995c,_,_,_,_,1,Hume et al. 1989,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Sanson et al. 1985,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,2,Sharman et al. 1995c,2,Sharman et al. 1995c
110,Macropodidae,Petrogale,inornata,4200,Eldridge & Close 1995d,31,Eldridge & Close 1995d,_,_,1,Johnson 1979,_,_,_,_,287,Johnson 1979,_,_,_,_,210,Johnson 1979,_,_,540,Johnson 1979,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Eldridge & Close 1995d,_,_,_,_,_,_,_,_,_,_,_,_,_,800,AUSLIG 1980,2,Davis 1979,2,Eldridge & Close 1995d,2,Eldridge & Close 1995d
111,Macropodidae,Petrogale,lateralis,4200,Eldridge & Close 1995b,_,_,_,_,1,Kinnear et al. 1988,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,12,Kinnear et al.1988,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Eldridge & Close 1996,_,_,_,_,_,_,_,2.75,Kinnear et al.1988,_,_,_,_,200,AUSLIG 1980,2,Eldridge & Close 1995b,2,Kinnear et al.1988,2,Kinnear et al.1988
112,Macropodidae,Petrogale,penicillata,6300,Eldridge & Close 1995c,31,Lavery & Kirkpatrick 1985,_,_,1,Lee & Ward 1989,_,_,_,_,290,Lee & Ward 1989,_,_,_,_,205,Lee & Ward 1989,_,_,540,Lavery & Kirkpatrick 1985,_,_,_,_,14,Lavery & Kirkpatrick 1985,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Jarman & Phillips 1989.,Short 1989,1.3,Joblin 1983,_,_,_,_,3,pers. Comm. P. Jarman,_,_,_,_,1200,AUSLIG 1980,1,Joblin 1983,2,Joblin 1983,2,Joblin 1983
113,Macropodidae,Petrogale,persephone,5200,Sharman et al. 1995a,32,Johnson & Delean 1999,_,_,1,Johnson & Delean 1999,_,_,_,_,330,Johnson & Delean 1999,_,_,_,_,209,Johnson & Delean 1999,_,_,683,Johnson & Delean 1999,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Sharman et al. 1995a,_,_,_,_,_,_,_,0.06,pers. comm. P. Winkel,_,_,_,_,1600,AUSLIG 1980,1,pers. comm P. Johnson,2,Sharman et al. 1995a,2,Sharman et al. 1995a
114,Macropodidae,Petrogale,xanthopus,7000,Poole et al. 1985,32,Sharman et al. 1995b,_,_,1,Sharman et al. 1995b,_,_,_,_,344,Poole et al. 1985,_,_,_,_,196,Poole et al. 1985,_,_,541,Poole et al. 1985,_,_,_,_,12,Robinson et al. 1994,_,_,0.46,Poole et al. 1985,_,_,1000,Poole et al. 1985,1000,Lim 1987,_,_,2500,Poole et al. 1985.,2500,Lim 1987,_,_,4000,Poole et al. 1985,1,Copley & Robinson 1983,_,1,Lim 1987,_,_,_,_,0.15,Lim 1987,_,_,_,_,300,AUSLIG 1980,2,Lim 1987,2,Sharman et al. 1995b,2,Sharman et al. 1995b
115,Pseudocheiridae,Petropseudes,dahli,2000,Kerle & Winter 1995,_,_,_,_,1,Kerle & Winter 1995,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Kerle & Winter 1995,_,2,Kerle & Winter 1995,_,_,_,_,0.18,pers comm. M. Runcie,_,_,_,_,1400,AUSLIG 1980,2,Kerle & Winter 1995,2,Kerle & Winter 1995,2,Kerle & Winter 1995
116,Phalangeridae,Phalanger,carmelitae,1000,Flannery 1990,_,_,_,_,1,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Flannery 1990,_,1,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Flannery 1990,1,Flannery 1990
117,Phalangeridae,Phalanger,gymnotis,2400,Flannery 1990,13,Shoemaker & Croxton 1982,_,_,1,George 1982,_,_,_,_,270,Drake 1973,_,_,_,_,_,_,_,_,_,_,_,_,_,_,11,George 1982,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,2,George 1982.,Menzies & Pernetta 1986,1,Flannery 1990,_,_,_,_,_,_,_,_,_,_,4470,McAlpine et al. 1975.,2,Flannery 1990,1,George 1982,2,Flannery 1990
118,Phalangeridae,Phalanger,orientalis,2500,Flannery 1990,_,_,_,_,2,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,4,Collins 1973,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Flannery 1990,_,_,_,_,_,_,_,_,_,_,_,_,_,4000,McAlpine et al. 1975.,2,Pers. Obs. D. Fisher,1,Flannery 1990,1,Flannery 1990
119,Phalangeridae,Phalanger.,intercastellanus,_,_,_,_,_,_,2,Winter & Leung 1995b,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Winter & Leung 1995b,_,1,Winter & Leung 1995b,_,_,_,_,_,_,_,_,_,_,1800,AUSLIG 1980,2,Winter & Leung 1995b,1,Winter & Leung 1995b,1,Winter & Leung 1995b
120,Dasyuridae,Phascogale,calura,43,Bradley 1995,29,Bradley 1982,_,_,7.5,Bradley 1995,7.5,Bradley 1997,_,_,90,Bradley & Dempster 1997,_,_,_,_,365,Bradley 1995,_,_,330,Bradley 1982,_,_,_,_,2,Bradley 1995,3,Bradley & Dempster 1997,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Bradley 1995,_,1,Bradley 1982,_,_,_,_,_,_,_,_,_,_,400,AUSLIG 1980,2,Bradley 1995,1,Bradley 1995,1,Bradley 1982
