id,wsc_lsid,originalName,family,genus,species,subspecies,trait,traitFullName,traitCategory,value,value_numeric,measure,sex,lifeStage,frequency,sampleSize,treatment,method,methodFullName,dateText,dateStart,dateEnd,note,location,decimalLatitude,decimalLongitude,altitude,verbatimLocality,countryCode,countryName,habitatVerbatim,microhabitatVerbatim,datasetName,datasetRestrictedAccess,reference,referenceFull,referenceDOI,rowLinks
241003,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0204,0.0204,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5816
241004,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0201,0.0201,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5841
241005,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0413,0.0413,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5846
241006,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0203,0.0203,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5849
241007,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0297,0.0297,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5852
241008,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0286,0.0286,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5855
241009,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0242,0.0242,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5858
241010,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0168,0.0168,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5861
241011,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0071,0.0071,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5864
241012,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0422,0.0422,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5870
241013,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0193,0.0193,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5873
241014,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0134,0.0134,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5876
241015,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0208,0.0208,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5879
241016,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0275,0.0275,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5882
241017,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0327,0.0327,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5885
241018,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0181,0.0181,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5888
241019,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0132,0.0132,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5891
241020,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0171,0.0171,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5894
241021,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0142,0.0142,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5897
241022,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0224,0.0224,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5903
241023,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.012,0.012,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5906
241024,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0727,0.0727,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5909
241025,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0249,0.0249,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5912
241026,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0355,0.0355,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5915
241027,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0233,0.0233,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5918
241028,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0264,0.0264,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5921
241029,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0308,0.0308,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5924
